GAME_DATE,HOME_TEAM,AWAY_TEAM,H2H_GAMES,H2H_HOME_WINS,H2H_AVG_MARGIN
2018-11-07,Memphis Grizzlies,Denver Nuggets,0,0,0.0
2018-11-07,New Orleans Pelicans,Chicago Bulls,0,0,0.0
2018-11-07,Utah Jazz,Dallas Mavericks,1,1,-9.0
2018-11-07,Sacramento Kings,Toronto Raptors,0,0,0.0
2018-11-07,Los Angeles Lakers,Minnesota Timberwolves,1,0,4.0
2018-11-08,Golden State Warriors,Milwaukee Bucks,0,0,0.0
2018-11-08,Portland Trail Blazers,LA Clippers,0,0,0.0
2018-11-08,Oklahoma City Thunder,Houston Rockets,0,0,0.0
2018-11-08,Phoenix Suns,Boston Celtics,0,0,0.0
2018-11-09,Orlando Magic,Washington Wizards,0,0,0.0
2018-11-09,Philadelphia 76ers,Charlotte Hornets,1,1,2.0
2018-11-09,Atlanta Hawks,Detroit Pistons,0,0,0.0
2018-11-09,Miami Heat,Indiana Pacers,0,0,0.0
2018-11-09,Denver Nuggets,Brooklyn Nets,0,0,0.0
2018-11-09,Utah Jazz,Boston Celtics,0,0,0.0
2018-11-09,Sacramento Kings,Minnesota Timberwolves,0,0,0.0
2018-11-10,San Antonio Spurs,Houston Rockets,0,0,0.0
2018-11-10,Sacramento Kings,Los Angeles Lakers,0,0,0.0
2018-11-10,Golden State Warriors,Brooklyn Nets,1,1,-6.0
2018-11-10,Dallas Mavericks,Oklahoma City Thunder,0,0,0.0
2018-11-10,Memphis Grizzlies,Philadelphia 76ers,0,0,0.0
2018-11-10,Chicago Bulls,Cleveland Cavaliers,0,0,0.0
2018-11-10,Miami Heat,Washington Wizards,1,1,-1.0
2018-11-10,New Orleans Pelicans,Phoenix Suns,0,0,0.0
2018-11-10,LA Clippers,Milwaukee Bucks,0,0,0.0
2018-11-10,Toronto Raptors,New York Knicks,0,0,0.0
2018-11-11,Detroit Pistons,Charlotte Hornets,0,0,0.0
2018-11-11,Houston Rockets,Indiana Pacers,1,1,-4.0
2018-11-11,New York Knicks,Orlando Magic,0,0,0.0
2018-11-11,Denver Nuggets,Milwaukee Bucks,0,0,0.0
2018-11-11,Portland Trail Blazers,Boston Celtics,0,0,0.0
2018-11-11,Los Angeles Lakers,Atlanta Hawks,0,0,0.0
2018-11-12,Sacramento Kings,San Antonio Spurs,0,0,0.0
2018-11-12,Toronto Raptors,New Orleans Pelicans,0,0,0.0
2018-11-12,Oklahoma City Thunder,Phoenix Suns,1,1,7.0
2018-11-12,LA Clippers,Golden State Warriors,0,0,0.0
2018-11-12,Minnesota Timberwolves,Brooklyn Nets,0,0,0.0
2018-11-12,Washington Wizards,Orlando Magic,1,0,9.0
2018-11-12,Chicago Bulls,Dallas Mavericks,1,0,6.0
2018-11-12,Miami Heat,Philadelphia 76ers,0,0,0.0
2018-11-12,Memphis Grizzlies,Utah Jazz,2,2,-9.0
2018-11-13,Cleveland Cavaliers,Charlotte Hornets,1,0,32.0
2018-11-13,Denver Nuggets,Houston Rockets,0,0,0.0
2018-11-13,Golden State Warriors,Atlanta Hawks,0,0,0.0
2018-11-14,Los Angeles Lakers,Portland Trail Blazers,2,1,2.5
2018-11-14,Phoenix Suns,San Antonio Spurs,1,0,-30.0
2018-11-14,Dallas Mavericks,Utah Jazz,2,0,3.0
2018-11-14,Oklahoma City Thunder,New York Knicks,0,0,0.0
2018-11-14,Minnesota Timberwolves,New Orleans Pelicans,0,0,0.0
2018-11-14,Brooklyn Nets,Miami Heat,0,0,0.0
2018-11-14,Toronto Raptors,Detroit Pistons,0,0,0.0
2018-11-14,Boston Celtics,Chicago Bulls,0,0,0.0
2018-11-14,Washington Wizards,Cleveland Cavaliers,0,0,0.0
2018-11-14,Orlando Magic,Philadelphia 76ers,1,0,1.0
2018-11-14,Milwaukee Bucks,Memphis Grizzlies,0,0,0.0
2018-11-15,Denver Nuggets,Atlanta Hawks,0,0,0.0
2018-11-15,Houston Rockets,Golden State Warriors,0,0,0.0
2018-11-15,LA Clippers,San Antonio Spurs,0,0,0.0
2018-11-16,Minnesota Timberwolves,Portland Trail Blazers,1,0,30.0
2018-11-16,New Orleans Pelicans,New York Knicks,0,0,0.0
2018-11-16,Memphis Grizzlies,Sacramento Kings,1,0,5.0
2018-11-16,Milwaukee Bucks,Chicago Bulls,0,0,0.0
2018-11-16,Philadelphia 76ers,Utah Jazz,0,0,0.0
2018-11-16,Boston Celtics,Toronto Raptors,1,0,12.0
2018-11-16,Washington Wizards,Brooklyn Nets,0,0,0.0
2018-11-16,Indiana Pacers,Miami Heat,1,1,-8.0
2018-11-17,Phoenix Suns,Oklahoma City Thunder,2,0,12.0
2018-11-17,Houston Rockets,Sacramento Kings,0,0,0.0
