GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,PRE_ELO_HOME,PRE_ELO_AWAY,POST_ELO_HOME,POST_ELO_AWAY,WIN_PROB_HOME,EXPECTED_MARGIN,ACTUAL_MARGIN
2021-03-13,Oklahoma City Thunder,New York Knicks,97,119,1452.9487882933022,1459.5444878345045,1410.1148058001554,1502.3784703276513,0.631272183428995,3.7361720183519083,-22
2021-03-13,Charlotte Hornets,Toronto Raptors,114,104,1486.5726907576222,1523.075875077878,1500.7433772194051,1508.905188616095,0.5903752979119496,2.5398726271897702,10
2021-03-14,Oklahoma City Thunder,Memphis Grizzlies,128,122,1410.1148058001554,1532.655348887608,1423.5663511422056,1519.2038035455578,0.46760698571691856,-0.9016217234981013,6
2021-03-14,Golden State Warriors,Utah Jazz,131,119,1494.7171416719207,1730.9294103599207,1517.582415510256,1708.0641365215854,0.31343673305033615,-5.44849074752,12
2021-03-14,Philadelphia 76ers,San Antonio Spurs,134,99,1667.1998029209394,1494.8860840737284,1676.1212308729644,1485.9646561217035,0.8274360276109222,10.892548753888441,35
2021-03-14,Orlando Magic,Miami Heat,97,102,1312.1137792978493,1583.4266564310374,1305.0911607550079,1590.4492749738788,0.2716719697435529,-6.852515085327522,-5
2021-03-14,Atlanta Hawks,Cleveland Cavaliers,100,82,1486.6640852682144,1329.7511443627557,1494.5479052113583,1321.8673244196118,0.8144078514006245,10.276517636218351,18
2021-03-14,Houston Rockets,Boston Celtics,107,134,1294.1669371121354,1515.2366597915425,1278.182842803133,1531.2207541005448,0.3324924946910527,-4.842788907176282,-27
2021-03-14,Minnesota Timberwolves,Portland Trail Blazers,114,112,1274.2732802903556,1552.1478040307977,1287.5165468798307,1538.9045374413226,0.26426296725138354,-7.114980949617684,2
2021-03-14,Chicago Bulls,Toronto Raptors,118,95,1447.3258300905172,1508.905188616095,1467.7258200890524,1488.50519861756,0.5550674624857556,1.5368256589768863,23
2021-03-14,New Orleans Pelicans,LA Clippers,135,115,1392.7013383819026,1610.7137022104746,1418.9336191164803,1584.481421475897,0.33641001347448807,-4.72049455314288,20
2021-03-15,Dallas Mavericks,LA Clippers,99,109,1589.5429161832647,1584.481421475897,1555.9821196636026,1618.042217995559,0.6467497211364045,4.202459788294709,-10
2021-03-15,Denver Nuggets,Indiana Pacers,121,106,1623.5003441571735,1497.549914106618,1632.0624001088324,1488.987858154959,0.7859486012085254,9.03801720202222,15
2021-03-15,Brooklyn Nets,New York Knicks,117,112,1671.834904947559,1502.3784703276513,1676.3566545444248,1497.8567207307854,0.8250748474840781,10.778257384796307,5
2021-03-15,Phoenix Suns,Memphis Grizzlies,122,99,1664.4295113954495,1519.2038035455578,1673.414968343248,1510.2183465977594,0.8040233274233942,9.809028313995668,23
2021-03-15,Charlotte Hornets,Sacramento Kings,122,116,1500.7433772194051,1374.5529904228297,1506.7460385125382,1368.5503291296966,0.786180890561089,9.047615471863018,6
2021-03-15,Detroit Pistons,San Antonio Spurs,99,109,1362.1907369744492,1485.9646561217035,1346.07532491917,1502.0800681769826,0.4658398786800497,-0.9509567658901688,-10
2021-03-15,Washington Wizards,Milwaukee Bucks,122,133,1383.6936402332508,1599.7487501702349,1371.5431330727222,1611.8992573307635,0.3389298258512973,-4.642204397479364,-11
2021-03-15,Golden State Warriors,Los Angeles Lakers,97,128,1517.582415510256,1591.905444264163,1477.316040276017,1632.1718194984019,0.536885003123185,1.0270788498437196,-31
2021-03-16,Houston Rockets,Atlanta Hawks,107,119,1278.182842803133,1494.5479052113583,1265.6557378347597,1507.0750101797316,0.3385301726970515,-4.654602496329008,-12
2021-03-16,Portland Trail Blazers,New Orleans Pelicans,125,124,1538.9045374413226,1418.9336191164803,1543.3025196881445,1414.5356368696584,0.7801008876589102,8.798836732993696,1
2021-03-16,Chicago Bulls,Oklahoma City Thunder,123,102,1467.7258200890524,1423.5663511422056,1481.268091886065,1410.024079345193,0.6963229183644088,5.766378757873872,21
2021-03-16,Los Angeles Lakers,Minnesota Timberwolves,137,121,1632.1718194984019,1287.5165468798307,1635.105858558517,1284.5825078197156,0.9282185753346792,17.78621090474285,16
2021-03-16,Miami Heat,Cleveland Cavaliers,113,98,1590.4492749738788,1321.8673244196118,1594.7293876649087,1317.587211728582,0.8929971827242542,14.74327802217068,15
2021-03-16,Philadelphia 76ers,New York Knicks,99,96,1676.1212308729644,1497.8567207307854,1679.4757808454358,1494.502170758314,0.8322725013764327,11.13058040568716,3
2021-03-16,Boston Celtics,Utah Jazz,109,117,1531.2207541005448,1708.0641365215854,1518.8205752088859,1720.4643154132443,0.3911820906178203,-3.0737352968416234,-8
2021-03-17,Denver Nuggets,Charlotte Hornets,129,104,1632.0624001088324,1506.7460385125382,1642.1526502705406,1496.65578835083,0.7853339098730433,9.012654463851767,25
2021-03-17,Memphis Grizzlies,Miami Heat,89,85,1510.2183465977594,1594.7293876649087,1521.3107625328303,1583.6369717298378,0.5222756484365167,0.6195583573140265,4
2021-03-17,Houston Rockets,Golden State Warriors,94,108,1265.6557378347597,1477.316040276017,1252.1917718473742,1490.7800062634026,0.3446210140237758,-4.466412097650291,-14
2021-03-17,Chicago Bulls,San Antonio Spurs,99,106,1481.268091886065,1502.0800681769826,1453.726852761695,1529.6213073013525,0.6120275360971079,3.16752094836329,-7
2021-03-17,Dallas Mavericks,LA Clippers,105,89,1555.9821196636026,1618.042217995559,1574.1965117416669,1599.8278259174947,0.5543839103747625,1.517596066721744,16
2021-03-17,Washington Wizards,Sacramento Kings,119,121,1371.5431330727222,1368.5503291296966,1352.2224023574504,1387.8710598449684,0.6440243571757277,4.119712157721024,-2
2021-03-17,Philadelphia 76ers,Milwaukee Bucks,105,109,1679.4757808454358,1611.8992573307635,1654.257849826259,1637.1171883499403,0.7240514488714229,6.703060940586893,-4
2021-03-17,Indiana Pacers,Brooklyn Nets,115,124,1488.987858154959,1676.3566545444248,1476.46913460969,1688.8753780896939,0.37685112945509436,-3.4947518555786337,-9
2021-03-17,Detroit Pistons,Toronto Raptors,116,112,1346.07532491917,1488.50519861756,1357.793719054275,1476.786804482455,0.4392402608606193,-1.6971949479355954,4
2021-03-17,Cleveland Cavaliers,Boston Celtics,117,110,1317.587211728582,1518.8205752088859,1334.9130856785619,1501.494701258906,0.3583009648155552,-4.049334539212159,7
2021-03-18,Washington Wizards,Utah Jazz,131,122,1352.2224023574504,1720.4643154132443,1376.8597201121925,1695.8269976585023,0.1759364825686552,-10.729676522231758,9
2021-03-18,Atlanta Hawks,Oklahoma City Thunder,116,93,1507.0750101797316,1410.024079345193,1518.2332232244753,1398.8658663004494,0.7566345844052457,7.882037233381543,23
2021-03-18,New York Knicks,Orlando Magic,94,93,1494.502170758314,1305.0911607550079,1497.6813785915042,1301.9119529218176,0.8410396083404807,11.576440400132242,1
2021-03-18,Phoenix Suns,Minnesota Timberwolves,119,123,1673.414968343248,1284.5825078197156,1640.5565002831538,1317.4409758798097,0.9434247951790562,19.553298420941292,-4
2021-03-18,Portland Trail Blazers,New Orleans Pelicans,101,93,1543.3025196881445,1414.5356368696584,1550.0017285314727,1407.8364280263302,0.7886634907677577,9.150675312739441,8
2021-03-18,Los Angeles Lakers,Charlotte Hornets,116,105,1635.105858558517,1496.65578835083,1642.3544890181518,1489.4071578911953,0.7978045667652988,9.538002808307475,11
2021-03-19,Memphis Grizzlies,Golden State Warriors,103,116,1521.3107625328303,1490.7800062634026,1482.5052865729758,1529.585482223257,0.679482681183518,5.221230250777108,-13
2021-03-19,Phoenix Suns,Minnesota Timberwolves,113,101,1640.5565002831538,1317.4409758798097,1643.5351464009814,1314.4623297619821,0.919505617042617,16.924620976133767,12
2021-03-19,Denver Nuggets,Chicago Bulls,131,127,1642.1526502705406,1453.726852761695,1645.8612354846102,1450.0182675476253,0.8402799284682592,11.537031900353822,4
2021-03-19,Houston Rockets,Detroit Pistons,100,113,1252.1917718473742,1357.793719054275,1233.4619138866797,1376.5235770149695,0.4919388484689067,-0.22407788827603325,-13
2021-03-19,Portland Trail Blazers,Dallas Mavericks,125,119,1550.0017285314727,1574.1965117416669,1561.0235804608105,1563.174659812329,0.6073937127529486,3.032208671592234,6
2021-03-19,Orlando Magic,Brooklyn Nets,121,113,1301.9119529218176,1688.8753780896939,1325.8522475969212,1664.9350834145903,0.1608530989004934,-11.478537006715051,8
2021-03-19,Miami Heat,Indiana Pacers,110,137,1583.6369717298378,1476.46913460969,1528.3141099730233,1531.7919963665045,0.7671975220437943,8.286713484805913,-27
2021-03-19,Boston Celtics,Sacramento Kings,96,107,1501.494701258906,1387.8710598449684,1459.885710852279,1429.4800502515952,0.7737689566396053,8.544945656557502,-11
2021-03-19,Cleveland Cavaliers,San Antonio Spurs,110,116,1334.9130856785619,1529.6213073013525,1324.6105872929963,1539.923805686918,0.3669823970107249,-3.7883288649116276,-6
2021-03-19,Toronto Raptors,Utah Jazz,112,115,1476.786804482455,1695.8269976585023,1470.08499510235,1702.5288070386073,0.33509046900525424,-4.761607727041892,-3
2021-03-20,Los Angeles Lakers,Atlanta Hawks,94,99,1642.3544890181518,1518.2332232244753,1611.9486665535944,1548.6390456890326,0.784171851779275,8.964850631747058,-5
2021-03-20,Philadelphia 76ers,Sacramento Kings,129,105,1654.257849826259,1429.4800502515952,1660.4616392840846,1423.2762607937696,0.8664086654645828,12.99111198298655,24
2021-03-20,Memphis Grizzlies,Golden State Warriors,111,103,1482.5052865729758,1529.585482223257,1495.9592666855644,1516.1315021106684,0.5755741821504593,2.1167921739887516,8
2021-03-20,Milwaukee Bucks,San Antonio Spurs,120,113,1637.1171883499403,1539.923805686918,1644.413621856378,1532.6273721804803,0.7567855497854108,7.88773530652089,7
2021-03-20,LA Clippers,Charlotte Hornets,125,98,1599.8278259174947,1489.4071578911953,1610.8594974703635,1478.3754863383265,0.7705251280230617,8.416826721051976,27
