GAME_ID_HOME,GAME_DATE_HOME,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,HOME_WIN,POINT_DIFFERENTIAL,TOTAL_POINTS
0021800088,2018-10-29,Philadelphia 76ers,Atlanta Hawks,113,92,0.414,0.372,0.298,0.216,0.944,0.667,64,47,33,20,7,10,9,3,19,13,1,21,205
0021800089,2018-10-29,Miami Heat,Sacramento Kings,113,123,0.413,0.495,0.333,0.462,0.706,0.6,52,46,20,28,10,8,9,8,18,12,0,-10,236
0021800090,2018-10-29,New York Knicks,Brooklyn Nets,115,96,0.489,0.405,0.375,0.289,0.889,0.773,53,32,21,22,5,6,3,7,13,10,1,19,211
0021800091,2018-10-29,Chicago Bulls,Golden State Warriors,124,149,0.489,0.552,0.314,0.533,0.618,0.731,44,49,25,34,6,9,3,7,9,7,0,-25,273
0021800092,2018-10-29,Milwaukee Bucks,Toronto Raptors,124,109,0.489,0.379,0.422,0.2,0.789,0.786,57,51,28,25,5,9,4,7,17,10,1,15,233
0021800093,2018-10-29,Minnesota Timberwolves,Los Angeles Lakers,124,120,0.429,0.471,0.483,0.364,0.867,0.667,51,48,26,24,11,8,12,8,14,18,1,4,244
0021800094,2018-10-29,San Antonio Spurs,Dallas Mavericks,113,108,0.462,0.473,0.45,0.294,0.952,0.706,41,49,27,15,17,9,2,3,17,22,1,5,221
0021800095,2018-10-29,Denver Nuggets,New Orleans Pelicans,116,111,0.452,0.524,0.314,0.458,0.913,0.7,41,44,28,28,14,8,5,5,13,22,1,5,227
0021800096,2018-10-30,Charlotte Hornets,Miami Heat,125,113,0.543,0.471,0.464,0.393,0.828,0.833,39,34,27,25,7,9,5,5,14,15,1,12,238
0021800097,2018-10-30,Cleveland Cavaliers,Atlanta Hawks,136,114,0.5,0.537,0.52,0.429,0.767,0.647,48,39,23,25,13,6,1,8,13,22,1,22,250
0021800098,2018-10-30,Orlando Magic,Sacramento Kings,99,107,0.396,0.488,0.256,0.364,0.727,0.654,48,51,28,22,10,8,8,6,16,15,0,-8,206
0021800099,2018-10-30,Boston Celtics,Detroit Pistons,108,105,0.44,0.42,0.29,0.267,0.781,0.852,46,50,25,17,8,6,4,3,14,17,1,3,213
0021800100,2018-10-30,Toronto Raptors,Philadelphia 76ers,129,112,0.511,0.418,0.407,0.35,0.857,0.733,43,47,29,25,13,7,6,5,15,23,1,17,241
